specialty,product-cat,caption,vendor,order_date,expiry_date,quantity,unit_cost,total_cost,shelf_life_days,days_to_expiry,product_order_count,avg_reorder_gap_days,risk_score,risk_tier
Lab Plasticware,Racks & Stands,Rack For Petri Dishes (Pack of 2 Pcs.),Fortis Healthcare Limited,2022-09-29,2026-09-29,23,263.258,6054.934,1461,62,3,228.33333333333334,37.8,Medium
Anesthesia Equipment,Emergency FIRST AID Kit,Resuscitation Kit,SISCO ,2023-11-17,2026-11-17,45,499.9,22495.5,1096,111,32,31.96875,37.8,Medium
Opthalmology Instruments,Scissors,Vannas Capsulotomy Scissors Angled,Romsons Group Of Industries,2024-04-10,2028-04-10,44,69.9,3075.6,1461,621,4,203.5,37.8,Medium
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 5,Karl Storz,2022-08-28,2026-08-28,35,16.8,588.0,1461,30,10,76.9,37.8,Medium
Surgery,Suction Units Manual,Foot Suction Unit - Plastic,M/S IMADE TECHNOLOGY PRIVATE LIMITED,2023-03-28,2027-03-28,48,800.8,38438.4,1461,242,20,49.3,37.8,Medium
Hollowware,Cidex Tray,Cidex Tray with Cover,Poly Medicure,2022-09-22,2026-09-22,45,490.0,22050.0,1461,55,13,68.38461538461539,37.7,Medium
Linen,Hospital Uniform,"IndoSurgicals Scrub Suit for Doctors, Unisex, Poly Cotton (Light Sky Blue)",Apollo Hospitals Enterprise Limited,2023-02-28,2027-02-28,46,69.9,3215.4,1461,214,13,66.76923076923077,37.7,Medium
Surgery,Forceps,"Intestinal Clamp Forceps 10"" Curved",Ben Franklin Opticians,2023-08-29,2027-08-29,44,72.8,3203.2,1461,396,15,49.666666666666664,37.7,Medium
Surgery,Forceps,Dissecting Forceps Plain,Reckitt Benckiser,2022-10-16,2026-10-16,43,19.9,855.7,1461,79,18,54.44444444444444,37.7,Medium
Ortho Instruments,Drill,Quick Coupling Cannulated Drill For Trauma Operation,CDR MEDICAL INDUSTRIES,2023-12-02,2027-12-02,40,5028.8,201152.0,1461,491,4,216.0,37.7,Medium
Lab Plasticware,Micropipettes and Tips,Micropipette Stand with Drawer,3M India,2023-01-01,2027-01-01,39,94.4,3681.6,1461,156,6,131.16666666666666,37.7,Medium
Disposables,Transfusion,Intraflon (I.V. Cannula) - Pack of 100 Pcs.,GPC Medical,2023-05-28,2027-05-28,39,129.92,5066.88,1461,303,8,122.125,37.7,Medium
Gastroenterology Instruments,Rectal Speculum,Mathieu Rectal Speculum,Thyrocare Technologies Limited,2022-11-16,2026-11-16,38,274.9,10446.2,1461,110,10,102.2,37.7,Medium
Laparoscopic Instrument,Retractor,Liver Retractor,Apollo Hospitals Enterprise Limited,2023-12-10,2027-12-10,42,1154.9,48505.8,1461,499,6,142.66666666666666,37.7,Medium
Other Instruments,Monitor,AQUA12 Multi Parameter Patient Monitor,AJMERA BIO-MEDICAL ENGINEERS,2022-11-10,2026-11-10,33,3511.2,115869.6,1461,104,11,97.0909090909091,37.7,Medium
OPT Equipments,Electrosurgical Unit,Disposable Electrosurgical Control Pencil (3 Pin),Braun Medical India,2024-11-01,2028-11-01,49,12.5,612.5,1461,826,5,174.6,37.6,Medium
Misc Products,Brush,Surgeons Nail Brush,Narang,2023-08-04,2027-08-04,50,7.616,380.8,1461,371,4,205.5,37.6,Medium
Anesthesia Equipment,Mouth Opener,Emergency Mouth Opener,ACCURATE MACHINES,2023-10-05,2026-10-05,37,16.8,621.6,1096,68,18,60.388888888888886,37.6,Medium
Opthalmology Instruments,Holder,Castroviejo Needle Holder with Lock (Straight),Bard,2024-08-14,2028-08-14,38,119.9,4556.2,1461,747,2,301.0,37.6,Medium
Surgery,Instrument Kit,Hysterectomy Instrument Kit,AJMERA BIO-MEDICAL ENGINEERS,2022-08-04,2026-08-04,34,1094.8,37223.2,1461,6,15,71.26666666666667,37.6,Medium
Ortho Aid,Knee Calf & Ankle Splints,Anklet (Pair),Fortis Healthcare Limited,2023-03-06,2027-03-06,42,30.975,1300.95,1461,220,5,86.2,37.6,Medium
Urology,Needle,Biopsy needle,Inor Medical Products Ltd,2022-10-21,2026-10-21,45,221.0,9945.0,1461,84,5,92.8,37.6,Medium
Ortho Aid,Walking Sticks,"Walking Stick, Quadripod (Four Legs), Adjustable",Johnson & Johnson,2024-11-10,2028-11-10,47,68.985,3242.295,1461,835,3,255.66666666666666,37.6,Medium
Spine Surgery,Forceps,Disc Punch Forceps (Plain) Straigh,Gesco Healthcare,2023-03-07,2027-03-07,42,349.9,14695.8,1461,221,6,115.16666666666667,37.6,Medium
Lab Equipment,Hematocrit Centrifuge,Hematocrit Centrifuge (Digital Timer & RPM) 24 Capillary Tubes,Rama Surgical House,2023-05-12,2027-05-12,34,3494.9,118826.6,1461,287,3,250.33333333333334,37.6,Medium
Surgery,Forceps,Babcock Forceps,Delux Surgical,2022-09-07,2026-09-07,41,36.9,1512.9,1461,40,21,50.904761904761905,37.6,Medium
Opthalmology Instruments,Forceps,Snellen Entropion Forceps (Pair),KLS Martin India,2024-09-02,2028-09-02,45,67.9,3055.5,1461,766,2,416.5,37.6,Medium
Neurology Instruments,Hook,Yasargil Galea Fixation Spring Hook,Dr. Lal PathLabs Limited,2023-03-20,2027-03-20,41,279.9,11475.9,1461,234,6,149.66666666666666,37.6,Medium
Surgery,Retractor,Volkmann Retractor (Sharp),Boston Scientific,2022-10-25,2026-10-25,38,35.0,1330.0,1461,88,17,59.88235294117647,37.5,Medium
Ortho Instruments,Wire,Guide Wire for Interlocking Nail,Terumo,2023-04-27,2027-04-27,45,49.9,2245.5,1461,272,6,164.66666666666666,37.5,Medium
Hollowware,General Quality,"Dressing Drum 14"" x 9"" - General Quality",Inor Medical Products Ltd,2023-07-05,2027-07-05,48,159.9,7675.2,1461,341,12,63.166666666666664,37.5,Medium
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 7,HI-TECH LAB PRODUCTS,2022-10-04,2026-10-04,42,16.8,705.6,1461,67,24,43.375,37.5,Medium
Lab Plasticware,Micropipettes and Tips,Micropipette Tips 10 ul (Pack of 1000 Pcs.),Boston Scientific,2023-05-07,2027-05-07,30,49.442,1483.26,1461,282,4,248.25,37.5,Medium
General,Stethoscope,Teaching Stethoscope (Double Tube),Narang,2023-09-06,2026-09-06,41,69.9,2865.9,1096,39,14,75.92857142857143,37.5,Medium
Surgery,Suction Units Portable,"Suction Unit - AC/DC, ABS (30 Ltrs./Min)",Bauch & Lomb,2022-10-09,2026-10-09,43,1592.64,68483.52,1461,72,16,60.125,37.5,Medium
Disposables,Urology,Romsons Foley Trac 2-Way Foleyâ€™s Balloon Catheter (Pack of 50 Pcs.),Apollo Hospitals Enterprise Limited,2024-04-23,2028-04-23,46,195.44,8990.24,1461,634,8,122.875,37.5,Medium
Opthalmology Instruments,Cautery,Wills Copper Ball Cautery,AJMERA BIO-MEDICAL ENGINEERS,2022-10-17,2026-10-17,38,31.9,1212.2,1461,80,7,115.85714285714286,37.5,Medium
Other Instruments,Tonometer,Schiotz Tonometer,Arena Medical Care,2023-04-20,2027-04-20,44,284.9,12535.6,1461,265,8,118.0,37.5,Medium
Gastroenterology Instruments,Rectal Speculum,Alan-Parks Rectal Speculum,Santosh Surgical Instruments,2022-10-07,2026-10-07,32,509.9,16316.8,1461,70,11,77.81818181818181,37.5,Medium
Surgery,Scissors,Dressing Scissors (Curved) Blunt/Sharp,HI-TECH LAB PRODUCTS,2023-06-05,2027-06-05,50,34.9,1745.0,1461,311,11,65.0909090909091,37.5,Medium
Surgery,Instrument Kit,Laparotomy Instruments Kit (Pediatric),HI-TECH LAB PRODUCTS,2022-08-31,2026-08-31,45,879.9,39595.5,1461,33,15,71.13333333333334,37.5,Medium
Surgery,Forceps,Fine Dissecting Forceps (Jewellers Forceps),Palakkad Surgical,2023-10-11,2027-10-11,44,19.9,875.6,1461,439,14,74.0,37.5,Medium
Rubber Products,Enema Products,Rubber Enema Bag 4 Liter,Apollo Hospitals Enterprise Limited,2023-02-27,2027-02-27,4,58.9,235.6,1461,213,3,263.6666666666667,37.4,Medium
Rubber Products,Breast Pump,Breast Pump (Pack of 15 Pcs.),Karl Storz,2022-08-09,2026-08-09,31,167.914,5205.334,1461,11,8,104.125,37.4,Medium
Ortho Aid,Fracture Aids,Rib Belt,Braun Medical India,2022-12-28,2026-12-28,41,33.705,1381.905,1461,152,4,162.5,37.4,Medium
Rheumatology,Splint,Wrist splint,ACCURATE MACHINES,2024-05-16,2028-05-16,39,44.5,1735.5,1461,657,9,114.33333333333333,37.4,Medium
General,Cylinder,Oxygen Cylinder 46.7 Ltrs.,Baxter,2023-09-23,2026-09-23,47,1661.44,78087.68,1096,56,44,23.818181818181817,37.4,Medium
Laparoscopic Instrument,Cables,Biclamp Cable,Max Healthcare Institute Limited,2023-01-08,2027-01-08,47,144.9,6810.3,1461,163,11,71.36363636363636,37.3,Medium
Surgery,Retractor,Tracheal Hook/Retractor Blunt One Prong,Wockhardt Limited,2023-11-11,2027-11-11,46,20.0,920.0,1461,470,15,67.26666666666667,37.3,Medium
Lab Plasticware,Lab Connectors,Stop Cocks (Pack of 6 Pcs.),Girish Surgical Works,2022-08-24,2026-08-24,39,179.596,7004.244,1461,26,6,118.33333333333333,37.3,Medium
Disposables,Urology,Sterimed Silicone Foley Balloon Catheter 3 Way,Santosh Surgical Instruments,2023-05-07,2027-05-07,25,21.28,532.0,1461,282,4,150.75,37.3,Medium
Plastic Surgery,Suture,Monocryl suture,Boston Scientific,2023-04-19,2027-04-19,43,65.5,2816.5,1461,264,6,96.16666666666667,37.3,Medium
Lab Equipment,Laboratory Water Bath,Serological Water Bath Thermostatic Controlled 6 Holes,Dolphin Surgical,2022-10-06,2026-10-06,35,1600.704,56024.64,1461,69,4,193.0,37.2,Medium
General,Baby Weighing Scales,Baby Weighing Scales - Digital,Karl Storz,2023-12-28,2026-12-28,48,592.95,28461.6,1096,152,13,67.23076923076923,37.2,Medium
Ortho Instruments,Wire,Guide Wire for Interlocking Nail,Romsons Group Of Industries,2023-09-03,2027-09-03,49,49.9,2445.1,1461,401,6,164.66666666666666,37.2,Medium
Lab Plasticware,Lab Beakers,Beakers (Euro Design),GE Healthcare,2023-02-22,2027-02-22,49,37.052,1815.548,1461,208,8,96.875,37.2,Medium
Other Instruments,Monitor,AQUA8 Multi Parameter Patient Monitor,Gesco Healthcare,2023-05-01,2027-05-01,37,3166.24,117150.88,1461,276,4,186.0,37.2,Medium
Lab Equipment,Laboratory Incubators,Laboratory Incubator Universal Type 216 Ltrs Alumiium Chambers,Palakkad Surgical,2022-10-31,2026-10-31,38,4978.624,189187.712,1461,94,7,92.42857142857143,37.2,Medium
Ortho Instruments,Instrument Set,DHS/DCS Instrument Set,Johnson & Johnson,2024-12-04,2028-12-04,44,1540.0,67760.0,1461,859,11,85.0,37.2,Medium
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 250 XL+,Lotus Surgicals,2024-08-08,2028-08-08,48,3248.0,155904.0,1461,741,4,246.5,37.2,Medium
Surgery,Retractor,Gelpi Retractor,Palakkad Surgical,2023-06-03,2027-06-03,46,218.9,10069.4,1461,309,14,68.85714285714286,37.2,Medium
Opthalmology Instruments,Speculum,Castroviejo Eye Speculum,Palakkad Surgical,2022-10-07,2026-10-07,9,89.9,809.1,1461,70,4,221.75,37.2,Medium
Ortho Aid,Walking Sticks,"Walking Stick, Tripod (Three Legs), Adjustable",Olympus,2022-08-07,2026-08-07,42,53.13,2231.46,1461,9,8,106.75,37.2,Medium
Anesthesia Equipment,Laryngoscope,Laryngoscope Blade (Macintosh),CDR MEDICAL INDUSTRIES,2024-04-30,2027-04-30,47,39.2,1842.4,1095,275,22,46.0,37.2,Medium
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 12x8"" (Deluxe Quality)",Inor Medical Products Ltd,2022-10-16,2026-10-16,38,72.9,2770.2,1461,79,6,121.83333333333333,37.2,Medium
Surgery,Retractor,Roux Retractor (Set of 3),Fortis Healthcare Limited,2023-02-27,2027-02-27,46,54.9,2525.4,1461,213,19,50.73684210526316,37.2,Medium
OB/GYN Instruments,Vacuum Extractor Sets - Manual,"Vacuum Extractor Set, Manual Operated",Braun Medical India,2023-01-24,2027-01-24,44,380.8,16755.2,1461,179,16,62.5625,37.2,Medium
Misc Products,Brush,Double Ended Endoscope Channel Cleaning Brush,SISCO ,2023-10-13,2027-10-13,47,14.0,658.0,1461,441,6,143.0,37.2,Medium
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (1 Year Warranty),Romsons,2023-10-11,2026-10-11,40,207.2,8288.0,1096,74,24,43.416666666666664,37.2,Medium
Surgery,Instrument Kit,ENT Instrument Kit,Vishal Surgitech,2022-09-02,2026-09-02,43,336.0,14448.0,1461,35,18,57.0,37.2,Medium
Cardiothoracic Instrument,Retractor,Finochietto Retractor,Boston Scientific,2023-01-31,2027-01-31,49,578.9,28366.1,1461,186,17,62.05882352941177,37.1,Medium
Lab Equipment,Laboratory Microscope,Monocular Microscope,GPC Medical,2022-12-11,2026-12-11,46,3575.264,164462.144,1461,135,5,135.6,37.1,Medium
Ortho Aid,Cervical Splints,Cervical Collar Soft Eyelet,Girish Surgical Works,2023-05-08,2027-05-08,27,29.295,790.965,1461,283,4,266.0,37.1,Medium
Radiology Aid,X-Ray View Box,LED X-Ray View Box Triple Film with Dimmer & Sensor (General Quality),Intersurgical,2023-06-20,2027-06-20,45,549.9,24745.5,1461,326,5,97.2,37.1,Medium
Gastroenterology Instruments,Rectal Speculum,Mathieu Rectal Speculum,Vishal Surgitech,2023-04-05,2027-04-05,41,274.9,11270.9,1461,250,10,102.2,37.1,Medium
Surgery,Scissors,Stevens Tenotomy Scissors (Straight),Vishal Surgitech,2023-12-24,2027-12-24,48,46.9,2251.2,1461,513,9,113.55555555555556,37.1,Medium
Surgery,Forceps,Allis Tissue Forceps Straight,Gesco Healthcare,2023-06-12,2027-06-12,48,36.9,1771.2,1461,318,21,48.23809523809524,37.1,Medium
Neurology Instruments,Punch,Bayonet Kerrison Punch Upward Cutting,Bard,2023-06-20,2027-06-20,49,809.9,39685.1,1461,326,9,60.888888888888886,37.1,Medium
Radiology Aid,Lead Goggles,X Ray Lead Goggles,Reckitt Benckiser,2023-11-28,2027-11-28,41,329.952,13528.032,1461,487,8,124.75,37.1,Medium
Disposables,Urology,Romsons Urometer Plus Premium Urine Bag with Measured Volume Chamber,HI-TECH LAB PRODUCTS,2023-03-22,2027-03-22,48,13.125,630.0,1461,236,5,101.8,37.0,Medium
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 8x3"" (Deluxe Quality)",CDR MEDICAL INDUSTRIES,2024-03-09,2028-03-09,50,27.9,1395.0,1461,589,4,163.25,37.0,Medium
Anesthesia Equipment,Nebulizer Face Mask,Nebulizer Face Mask Kit for Child,Intersurgical,2024-04-15,2027-04-15,49,19.9,975.1,1095,260,24,41.291666666666664,37.0,Medium
Surgery,Suction Units Electric,Suction Unit - ABS (30 Ltrs./Min),Fresenius,2023-03-27,2027-03-27,28,3208.8,89846.4,1461,241,10,90.6,37.0,Medium
Lab Equipment,Laboratory Microscope,Junior School Microscope without inclined Eyepiece Tube,Bauch & Lomb,2023-09-25,2027-09-25,44,631.12,27769.28,1461,423,3,135.33333333333334,37.0,Medium
Surgery,Forceps,Littlewood Tissue Forceps,Palakkad Surgical,2022-11-02,2026-11-02,30,47.9,1437.0,1461,96,11,93.27272727272727,37.0,Medium
Radiology Aid,Lead Aprons,NoPbÂ® Full Protection - Full Over Lap (Wrap Around Lead Vest & Skirt),Lotus Surgicals,2023-06-11,2027-06-11,38,2716.0,103208.0,1461,317,4,122.5,37.0,Medium
Linen,Disposable Cap,"Disposable Surgeon Cap, Non Woven (Pack of 100 Pcs.)",Siemens Healthineers,2024-05-06,2028-05-06,39,57.75,2252.25,1461,647,5,105.0,37.0,Medium
General,Height & Weight Scales,Height Measuring Scale with Digital Weighing Scale,SISCO ,2023-08-01,2026-08-01,39,283.2,11044.8,1096,3,23,46.608695652173914,37.0,Medium
Surgery,Forceps,"GREY Gall Duct Forceps (Toothed) 10""",Inor Medical Products Ltd,2022-08-17,2026-08-17,38,76.9,2922.2,1461,19,11,85.72727272727273,37.0,Medium
Ortho Aid,Back Splints,Contoured Lumbo Sacral Support,Poly Medicure,2023-02-06,2027-02-06,30,82.425,2472.75,1461,192,4,189.25,36.9,Medium
Sterilizers,Cidex Tray,Cidex Tray with Cover,Bauch & Lomb,2024-01-30,2027-01-30,49,490.0,24010.0,1096,185,13,68.38461538461539,36.9,Medium
Opthalmology Instruments,Speculum,Barraquer Wire Speculum,Bard,2023-05-15,2027-05-15,40,14.9,596.0,1461,290,5,134.8,36.9,Medium
Lab Plasticware,Lab Vials,Cryo Vial (Polypropylene),Integra,2022-09-27,2026-09-27,31,349.9,10846.9,1461,60,6,137.0,36.9,Medium
Surgery,Forceps,Mayo-Hegar Needle Holding Forceps,Lotus Surgicals,2023-01-06,2027-01-06,45,33.6,1512.0,1461,161,18,59.611111111111114,36.9,Medium
Ortho Instruments,Hammer,Orthopedic SS Bone Hammer with Fiber Handle,Gesco Healthcare,2024-03-29,2028-03-29,31,75.6,2343.6,1461,609,4,180.75,36.9,Medium
Linen,Lab Coat,"Female Lab Coat (Length 35"")",Inor Medical Products Ltd,2023-06-18,2027-06-18,29,69.9,2027.1,1461,324,5,152.2,36.9,Medium
Lab Equipment,Medium Centrifuge,"Medium Centrifuge With Timer Auto Stop model, 6 x 15ml",Inor Medical Products Ltd,2022-09-26,2026-09-26,27,1207.848,32611.896,1461,59,6,159.16666666666666,36.8,Medium
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,Inor Medical Products Ltd,2023-07-31,2026-07-31,43,79.9,3435.7,1096,2,48,21.979166666666668,36.8,Medium
Ortho Aid,Walking Sticks,Walking Stick (Aluminium) Adjustable,Girish Surgical Works,2022-11-12,2026-11-12,47,47.985,2255.295,1461,106,8,102.375,36.8,Medium
Furniture,Stretchers,Wheelchair Stair Stretcher,Opto Circuits India Limited,2023-10-27,2027-10-27,23,1652.0,37996.0,1461,455,3,322.0,36.8,Medium
OPT Equipments,OT Lights,Halogen Mobile OT Light,Boston Scientific,2023-06-23,2027-06-23,49,3545.546,173731.754,1461,329,8,103.0,36.8,Medium
Ortho Aid,Cervical Traction Kit,Cervical Traction Kit (Sitting),Hindustan Surgical,2023-05-28,2027-05-28,43,84.0,3612.0,1461,303,5,143.4,36.8,Medium
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Triple Wall with Air Circulating System upto 250ÂºC 91 Ltrs",AJMERA BIO-MEDICAL ENGINEERS,2024-08-12,2028-08-12,42,6936.16,291318.72,1461,745,4,177.0,36.8,Medium
Lab Plasticware,Racks & Stands,Test Tube Stand (Round) (Pack of 2 Pcs.),KLS Martin India,2023-02-21,2027-02-21,47,65.608,3083.576,1461,207,6,91.66666666666667,36.8,Medium
Anesthesiology,Mask,Anesthesia face mask,B. Braun,2023-06-06,2027-06-06,48,136.7,6561.6,1461,312,6,131.66666666666666,36.8,Medium
Surgery,Suction Units Electric,Suction Unit - MS (100 Ltrs./Min),Opto Circuits India Limited,2023-05-10,2027-05-10,48,5687.36,272993.28,1461,285,14,75.5,36.8,Medium
Surgery,Forceps,"Foerster Sponge Holding Forceps, Straight",Becton Dickinson,2022-08-28,2026-08-28,31,40.9,1267.9,1461,30,12,85.33333333333333,36.8,Medium
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 400 DEXTER,Vishal Surgitech,2022-12-03,2026-12-03,20,15164.8,303296.0,1461,127,5,155.8,36.8,Medium
Dinsinfectant & Cleaning,Fogger,ULV Fogger Machine with Timer,ACCURATE MACHINES,2024-12-13,2028-12-13,7,1399.5,9796.5,1461,868,2,433.0,36.7,Medium
Urology,Needle,Biopsy needle,Olympus,2022-09-05,2026-09-05,43,221.0,9503.0,1461,38,5,92.8,36.7,Medium
Dinsinfectant & Cleaning,Fogger,ULV Fogger Rotating Table with Timer,Trivitron Healthcare Private Limited,2024-07-02,2028-07-02,44,1399.5,61578.0,1461,704,4,195.25,36.7,Medium
Anesthesia Equipment,Air Cushion Face Masks,Anaesthesia Face Mask Transparent aircushion with valve,SISCO ,2024-03-05,2027-03-05,50,25.2,1260.0,1095,219,23,44.56521739130435,36.7,Medium
Lab Plasticware,Test Tubes,15ml Centrifuge Tubes Conical Bottom (Pack of 25 Pcs.),Reckitt Benckiser,2023-02-04,2027-02-04,35,54.516,1908.06,1461,190,8,83.875,36.7,Medium
Surgery,Retractor,"Balfour Abdominal Retractor 3""",Apollo Hospitals Enterprise Limited,2022-09-16,2026-09-16,41,218.9,8974.9,1461,49,12,75.16666666666667,36.7,Medium
Surgery,Retractor,Morris Abdominal Retractor,Baxter,2022-10-31,2026-10-31,32,57.5,1840.0,1461,94,13,80.76923076923077,36.7,Medium
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 12x8"" (Deluxe Quality)",Thyrocare Technologies Limited,2023-02-10,2027-02-10,41,72.9,2988.9,1461,196,6,121.83333333333333,36.7,Medium
Other Instruments,Mask,Anesthesia Face Mask,Ben Franklin Opticians,2024-03-29,2028-03-29,50,22.4,1120.0,1461,609,15,60.46666666666667,36.7,Medium
Hollowware,General Quality,"IndoSurgicals Instrument Tray 12x8"" (General Quality)",Romsons,2023-08-04,2027-08-04,39,54.9,2141.1,1461,371,5,144.8,36.7,Medium
Hollowware,Douche Can,Douche Cans (Irrigators),Intersurgical,2022-10-23,2026-10-23,37,33.04,1222.48,1461,86,6,172.83333333333334,36.7,Medium
Gastroenterology,Suture,PDS suture,Palakkad Surgical,2022-11-20,2026-11-20,13,56.5,734.5,1461,114,4,228.5,36.7,Medium
Surgery,Retractor,Charnley Initial Incision Hip Retractor,Trivitron Healthcare Private Limited,2023-09-10,2027-09-10,50,394.9,19745.0,1461,408,11,89.63636363636364,36.7,Medium
Furniture,Hospital Trolleys,Linen Trolley,Santosh Surgical Instruments,2024-12-15,2028-12-15,4,349.988,1399.952,1461,870,2,432.0,36.6,Medium
Gastroenterology Instruments,Rectal Speculum,Alan-Parks Rectal Speculum,Ben Franklin Opticians,2023-02-21,2027-02-21,34,509.9,17336.6,1461,207,11,77.81818181818181,36.6,Medium
Opthalmology Instruments,Scissors,Vannas Capsulotomy Scissors Angled,Max Healthcare Institute Limited,2022-08-26,2026-08-26,32,69.9,2236.8,1461,28,4,203.5,36.6,Medium
Other Instruments,Flowmeter,Rossmax PF120C Peak Flow Meter Child,Opto Circuits India Limited,2022-10-04,2026-10-04,7,69.9,489.3,1461,67,4,214.25,36.6,Medium
Ortho Instruments,Handle,Orthopedic T-Handle with Chuck & Key,GPC Medical,2023-06-19,2027-06-19,49,169.9,8325.1,1461,325,7,120.57142857142857,36.6,Medium
Surgery,Scissors,Supercut Metzenbaum Scissor (Curved) with Black Handle,Olympus,2022-09-24,2026-09-24,36,112.0,4032.0,1461,57,10,104.3,36.6,Medium
Surgery,Forceps,Artery Forceps (Straight),Inor Medical Products Ltd,2023-02-22,2027-02-22,48,33.9,1627.2,1461,208,24,37.916666666666664,36.6,Medium
Surgery,Scissors,Suture Cutting Scissors,Johnson & Johnson,2023-03-09,2027-03-09,93,38.9,3617.7,1461,223,23,41.26086956521739,36.6,Medium
Surgery,Forceps,"Kelly Forceps Straight, 5.5""",Fortis Healthcare Limited,2023-11-29,2027-11-29,48,32.5,1560.0,1461,488,10,89.7,36.6,Medium
Opthalmology Instruments,Forceps,Blaydes Lens Holding Forceps,Siemens Healthineers,2023-04-05,2027-04-05,24,77.9,1869.6,1461,250,3,263.0,36.5,Medium
ENT Instruments,ENT Instruments,"Lake Seeker, Double Ended",Girish Surgical Works,2024-08-24,2028-08-24,45,19.9,895.5,1461,757,3,269.3333333333333,36.5,Medium
Sterilizers,Formalin Chamber,Formalin Chamber (Two Trays),Thyrocare Technologies Limited,2024-03-09,2027-03-09,38,377.6,14348.8,1095,223,9,92.44444444444444,36.5,Medium
Gastroenterology Instruments,Rectal Speculum,Pratt Rectal Speculum,Narang,2023-01-07,2027-01-07,38,366.9,13942.2,1461,162,7,92.14285714285714,36.5,Medium
Lab Plasticware,Pipette Accessories,Pipette Box (4 Pcs.),Vishal Surgitech,2023-06-01,2027-06-01,50,117.764,5888.2,1461,307,4,122.0,36.5,Medium
OB/GYN Instruments,Vacuum Extractor Sets - Electric,Vaccum Extractor Electric With S.S. Cups,Dolphin Surgical,2023-05-15,2027-05-15,35,1999.9,69996.5,1461,290,8,56.375,36.5,Medium
Ortho Instruments,Shears,"Doyen Rib Shear, 8""",Shilpa Medicare Limited,2024-01-12,2028-01-12,32,124.9,3996.8,1461,532,5,169.0,36.5,Medium
Surgery,Forceps,Ryder Needle Holder 8â€,Sree Balaji Surgicals,2024-04-10,2028-04-10,48,52.0,2496.0,1461,621,16,59.0625,36.5,Medium
General,Stethoscope,DulcetÂ® II-BR Pediatric/Neonatal Stethoscope,AJMERA BIO-MEDICAL ENGINEERS,2023-10-22,2026-10-22,49,59.9,2935.1,1096,85,22,47.54545454545455,36.4,Medium
Surgery,Forceps,Kocherâ€™s Forceps Straight,3M India,2023-06-08,2027-06-08,43,31.9,1371.7,1461,314,16,61.5,36.4,Medium
Lab Equipment,Laboratory Water Bath,Serological Water Bath Thermostatic Controlled With Stirrer & PID Based Digital Controller cum Indicator 17 Ltrs.,Girish Surgical Works,2023-09-21,2027-09-21,46,3672.144,168918.624,1461,419,3,130.0,36.4,Medium
Surgery,Retractor,"Pozzi Abdominal Retractor 2.5""",Dr. Lal PathLabs Limited,2022-09-29,2026-09-29,33,284.9,9401.7,1461,62,8,123.625,36.4,Medium
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 10.2 Ltrs.,Braun Medical India,2023-09-04,2026-09-04,47,843.7,39653.9,1096,37,33,30.87878787878788,36.4,Medium
Ortho Instruments,Elevator,Periosteal Elevator (Curved),Boston Scientific,2024-09-09,2028-09-09,41,73.92,3030.72,1461,773,3,282.3333333333333,36.4,Medium
Linen,Hospital Uniform,Disposable Scrub Suit (Non Woven Fabric),Siemens Healthineers,2023-09-08,2027-09-08,38,20.79,790.02,1461,406,4,141.25,36.4,Medium
Hollowware,Thermometer & Forceps Jar,Thermometer Jar (Stainless Steel),CDR MEDICAL INDUSTRIES,2023-09-06,2027-09-06,45,40.096,1804.32,1461,404,8,95.75,36.4,Medium
Furniture,Stretchers,Head Immobilizer,3M India,2022-08-13,2026-08-13,13,738.916,9605.908,1461,15,5,196.8,36.4,Medium
Laparoscopic Instrument,Cables,Monopolar Cable,Baxter,2023-05-20,2027-05-20,29,144.9,4202.1,1461,295,6,163.0,36.4,Medium
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 5,Shilpa Medicare Limited,2022-12-18,2026-12-18,36,16.8,604.8,1461,142,10,76.9,36.4,Medium
Radiology Aid,Lead Aprons,NoPbÂ® Frontal Protection Lead Apron,Poly Medicure,2023-11-14,2027-11-14,38,1276.8,48518.4,1461,473,8,115.625,36.3,Medium
Surgery,Forceps,Hernia Ring Forceps,SISCO ,2022-10-25,2026-10-25,44,76.5,3366.0,1461,88,11,85.0,36.3,Medium
Opthalmology Instruments,Chopper,Phaco Chopper,Santosh Surgical Instruments,2024-02-08,2028-02-08,26,44.9,1167.4,1461,559,6,128.0,36.3,Medium
Furniture,Stretchers,Ambulance Stretcher cum Wheelchair,Stryker,2022-10-10,2026-10-10,5,9745.384,48726.92,1461,73,3,211.66666666666666,36.3,Medium
