specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
Surgery,Scissors,Potts-Smith Vessel Scissors,699,Potts Smith Vessel ScissorsForgings from stainless steel.Silk matte satin finishSKUType9711445Â°97115..,0.001492537,Siemens Healthineers,14/05/2022,14/05/2026,42,69.9,2935.8
Rubber Products,Breast Pump,"Rubber Bulbs for Breast Pump Superior, 25ml (Pack of 15 Pcs.)",1617.78,"Item Code              Size                   35007              Breast pump, complete (glass barrel..",0.000497512,Medtronic,8/10/2023,8/10/2027,37,161.778,5985.786
Surgery,Forceps,Littlewood Tissue Forceps,479,Littlewood Tissue Forceps..,0.001492537,Wockhardt Limited,4/6/2022,4/6/2026,21,47.9,1005.9
Hollowware,Thermometer & Forceps Jar,Forceps Jar (Light Base),492.8,"Item Code    Size    70059    Inner Length & Width Approx. : 4"" x 2""    7011..",0.000497512,Gesco Healthcare,13/03/2024,13/03/2028,38,49.28,1872.64
Surgery,Forceps,McIndoe Forceps Toothed,279,"Item Code    Size  94323    6""  94324    8""..",0.001492537,Baxter,15/02/2025,15/02/2029,5,27.9,139.5
OB/GYN Instruments,Pessaries,Ring Vaginal Pessary Silicone Non Sterile (Medium) - 1 Pc.,299,IndoSurgicals Ring Vaginal Pessary are 100% silicone pessaries that are used in the management of va..,0.000497512,Lotus Surgicals,28/10/2022,28/10/2026,22,29.9,657.8
Anesthesia Equipment,Oxygen Cylinder & Regulators,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,Romsons Group Of Industries,6/7/2023,6/7/2026,31,169.9,5266.9
Surgery,Forceps,"Foerster Sponge Holding Forceps, Straight",409,"The jaws are rounded.Suitable for first aid, paramedic, medical, veterinary, fishing etc.Self lockin..",0.001492537,Dr. Lal PathLabs Limited,1/2/2024,1/2/2028,36,40.9,1472.4
Lab Equipment,Laboratory Water Bath,Serological Water Bath Thermostatic Controlled With Thermostat & Stirrer 13 Ltrs.,20443.36,"Double walled, inside  made of stainless steel 304 grade and outside mild sheet painted with  attrac..",0.000497512,Cook India,9/4/2022,9/4/2026,27,2044.336,55197.072
Ortho Aid,Wrist & Elbow Splints,Finger Cot,184.8,"Size :        Small, Medium, Large        Specifications :        V shaped malleable Aluminium  spli..",0.000497512,Sree Balaji Surgicals,24/05/2024,24/05/2028,26,18.48,480.48
Linen,Hospital Aprons,Hospital Apron PVC (10 Pcs.),739.2,"Hospital PVC Apron.Size approx. : 46"" Length X 27"" Width.Cream Colour PVC with polyester border and ..",0.000497512,Sree Balaji Surgicals,28/09/2024,28/09/2028,5,73.92,369.6
Lab Plasticware,Lab Bottles,Aspirator Bottles,991.2,IndoSurgicals Aspirator Bottles are made of polypropylene and are therefore much lighter than glass...,0.000497512,Olympus,3/1/2024,3/1/2028,29,99.12,2874.48
Nephrology,Syringe,Syringe,40,10ml luer lock,0.000497512,Stryker,18/07/2023,18/07/2027,18,4,72
Furniture,Stretchers,Emergency & Recovery Trolley,46831.84,Two sectional radiolucent topÂ Height adjusted by foot operated hydraulic pump from 660 mm to 86..,0.000497512,Johnson & Johnson,21/01/2024,21/01/2028,36,4683.184,168594.624
Lab Plasticware,Lab Bottles,Wash Bottles (New Type),809.48,These Bottles are also made of Low Density Polyethylene and are therefore translucent and unbreakabl..,0.000497512,Becton Dickinson,9/9/2024,9/9/2028,33,80.948,2671.284
Surgery,Forceps,Cheatle Forceps,429,Instrument Type : Sterilization ForcepsMaterial : Stainless SteelWorking Surface Style : SerratedDis..,0.001492537,Hindustan Syringes,6/9/2023,6/9/2027,13,42.9,557.7
Lab Equipment,Laboratory Hot Plates,Laboratory Rectangular Heating Plate with Cast Iron Top 1.5kw with Thermostat upto 300 Degree,11546.08,This is very useful  for continuous heating upto 350ÂºC.                     The body is made of  s..,0.000497512,Terumo,3/3/2023,3/3/2027,3,1154.608,3463.824
OPT Equipments,OT Lights,O.T. Light LED Ceiling Twin Model,237209.5,"Operating voltage: 180 to 270 V/AC 50HzÂ Power supply: 850V/DCÂ Dome: 22"" Dia. EachÂ Lig..",0.000497512,Apollo Hospitals Enterprise Limited,9/2/2023,9/2/2027,43,23720.95,1020000.85
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 5.0 Ltrs.,7788,"Empty Oxygen Cylinder, Water capacity 5.0 Litre.Supplied with F A Valve with Flowmeter and Pressure ..",0.00199005,Stryker,22/09/2024,22/09/2027,13,778.8,10124.4
Lab Equipment,Hematocrit Centrifuge,Hematocrit Centrifuge (Digital Timer & RPM) 24 Capillary Tubes,34949,Item Code                  30022Â  View Price                  30023Â  View Price     ..,0.000497512,Ambu,16/08/2022,16/08/2026,11,3494.9,38443.9
Cardiothoracic Instrument,Forceps,DeBakey Satinsky Forceps,2269,"Stainless SteelReusablePremium GradeSKUSize933706""933718""9337210""..",0.001492537,Cook India,16/10/2024,16/10/2028,26,226.9,5899.4
Rubber Products,Mackintosh Sheet,Mackintosh Sheet â€“ Deluxe Quality (10 meter),2499,"Mackintosh Sheeting (Hospital Sheeting) are made from best quality Indian soft rubber.
The sheeting..",0.000497512,Integra,10/9/2023,10/9/2027,24,249.9,5997.6
Lab Plasticware,Measuring Cylinders,Measuring Cylinders,519.2,"Plastic Measuring Cylinders, moulded in Polypropylene, are single piece cylinders. These autoclavabl..",0.000497512,Rama Surgical House,11/2/2025,11/2/2029,29,51.92,1505.68
Ortho Instruments,Cutter,Tungsten Carbide (TC) Wire Cutter,5712,"Tungsten Carbide (TC) Wire CutterSKUSize366027""366039""..",0.000497512,Medtronic,14/08/2024,14/08/2028,23,571.2,13137.6
Lab Equipment,Small Centrifuge,"Small Centrifuge Without Timer, 4 x 15ml",8968,Item Code                  30200Â  View Price                  30201 Â  View Price    ..,0.000497512,GE Healthcare,17/09/2022,17/09/2026,1,896.8,896.8
Surgery,Forceps,Dissecting Forceps Toothed,199,"Item Code    Size  94351    4""  94352    5""  94353    6""  94354    7""94355    8""  94356    10""  9435..",0.001492537,Terumo,22/02/2024,22/02/2028,23,19.9,457.7
Linen,Hospital Uniform,Premium Scrub Suit for Doctors Women (Faux Wrap Neck),949,Return/Replacement will not allow after Embroidery.Fabric: 65% Polyester and 35% Cotton (180 GSM Col..,0.000497512,Olympus,1/10/2022,1/10/2026,43,94.9,4080.7
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Macintosh (Deluxe Quality),2769.98,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.00199005,Cook India,12/10/2022,12/10/2025,31,276.998,8586.938
Surgery,Scissors,Vannas Spring Scissors,659,"Manufactured from German stainless steel.Product Conforms to ISO, CE-Quality Mark and other Quality ..",0.001492537,KLS Martin India,31/12/2024,31/12/2028,48,65.9,3163.2
Other Instruments,Mask,Pocket CPR Mask,315,NA,0.000497512,Karl Storz,1/8/2024,1/8/2028,13,31.5,409.5
Anesthesia Equipment,Anesthesia Machine,Anesthesia Apparatus,72800,Technical Specification:Two Gases Rotameter Oxygen & Nitrous-OxideOxygen Flowmeter range 100 cc/..,0.00199005,Bauch & Lomb,1/3/2025,1/3/2028,30,7280,218400
General,Cylinder,Emergency Oxygen Cylinder Kit,8260,Emergency Use.It is Handy and Portable.At the time of shifting patient to the Hospital and Home Use...,0.00199005,Gesco Healthcare,10/3/2024,10/3/2027,6,826,4956
Surgery,Retractor,Caspar Cervical Retractor,19999,"Product SpecificationsMaterial Excellence: Constructed from high-grade materials, our retractor is b..",0.001492537,B. Braun,11/9/2024,11/9/2028,35,1999.9,69996.5
Ortho Aid,Cervical Splints,Cervical Collar Hard,321.3,"Size :        Small, Medium, Large        Specifications :        High-density polythene  sheet     ..",0.000497512,AJMERA BIO-MEDICAL ENGINEERS,27/01/2025,27/01/2029,34,32.13,1092.42
Surgery,Forceps,"Intestinal Clamp Forceps 10"" Straight",728,"Intestinal Clamp Forceps 10"" Straight..",0.001492537,Bard,22/05/2024,22/05/2028,8,72.8,582.4
Lab Equipment,Laboratory Hot Plates,Laboratory Rectangular Heating Plate with Cast Iron Top 2kw with Thermostat upto 300 Degree,13255.2,This is very useful  for continuous heating upto 350ÂºC.                     The body is made of  s..,0.000497512,Palakkad Surgical,14/11/2023,14/11/2027,16,1325.52,21208.32
Surgery,Retractor,Morris Abdominal Retractor,575,General Overview: The Morris Abdominal Retractor is a versatile surgical tool used for retracting so..,0.001492537,Shilpa Medicare Limited,13/04/2022,13/04/2026,35,57.5,2012.5
OB/GYN Instruments,Forceps,Kogan Endocervical Speculum,4799,Stainless SteelReusablePremium Grade..,0.000497512,Intersurgical,21/10/2022,21/10/2026,38,479.9,18236.2
Surgery,Instrument Kit,IUD Removal Kit,4648,You can also buy this product from our Amazon store.Buy Now    IUD Removal Kit Containing ..,0.001492537,Santosh Surgical Instruments,12/10/2024,12/10/2028,35,464.8,16268
Radiology Aid,Mobile Lead Barrier,Radiation Protection Lead Barrier (Single Panel),33376,Product Specifications:Sturdy Design: The single panel construction of our lead barrier is engineere..,0.000497512,Vishal Surgitech,30/10/2022,30/10/2026,31,3337.6,103465.6
Opthalmology Instruments,Speculum,Castroviejo Eye Speculum,899,Stainless SteelReusablePremium Grade..,0.000497512,Palakkad Surgical,7/10/2022,7/10/2026,9,89.9,809.1
ENT Instruments,Laryngoscope,Fiber Optic LED Laryngoscope Set Miller,6720,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.000497512,Johnson & Johnson,7/6/2024,7/6/2028,39,672,26208
Surgery,Scissors,Episiotomy Scissors,459,Episiotomy Scissors..,0.001492537,Ben Franklin Opticians,31/10/2023,31/10/2027,40,45.9,1836
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 7,168,"B.P. Handle (Scalpel Handle) No. 7, stainless steel",0.001492537,Opto Circuits India Limited,14/12/2022,14/12/2026,49,16.8,823.2
Sterilizers,Electric Autoclave,"Autoclave (24 litres) Electric, Pressure Cooker Type, Epoxy Finish",8699,"Epoxy Finish, Electric, 220V. 50Hz. Single PhaseApprox. Size (Dia. X H):Â 300mm X 300mm + 50mm L..",0.000995025,Ambu,16/08/2022,16/08/2025,6,869.9,5219.4
Ortho Instruments,Plier,Orthopedic Wire Tightening Plier,1149,Orthopedic Wire Tightening Plier..,0.000497512,Romsons,12/3/2024,12/3/2028,36,114.9,4136.4
Surgery,Forceps,Tungsten Carbide (TC) Mayo Hegar Needle Holder,1899,"Tungsten Carbide (TC) Mayo Hegar Needle HolderSize approx. 6""SKUSize965706""965717""965728""..",0.001492537,Hindustan Syringes,25/10/2023,25/10/2027,27,189.9,5127.3
Surgery,Forceps,Kocherâ€™s Forceps Straight,319,Hemostatic ForcepsForgings from stainless steelSilk matte satin finishUsed mostly in general surgery..,0.001492537,Wockhardt Limited,2/4/2023,2/4/2027,23,31.9,733.7
Lab Plasticware,Lab Bottles,Wash Bottles (New Type),809.48,These Bottles are also made of Low Density Polyethylene and are therefore translucent and unbreakabl..,0.000497512,B. Braun,7/7/2024,7/7/2028,29,80.948,2347.492
Surgery,Forceps,Tungsten Carbide (TC) Mayo Hegar Needle Holder,1899,"Tungsten Carbide (TC) Mayo Hegar Needle HolderSize approx. 6""SKUSize965706""965717""965728""..",0.001492537,Vishal Surgitech,4/5/2024,4/5/2028,4,189.9,759.6
Surgery,Scissors,Spencer (Littauer) Stitch Scissors,299,Made of Stainless SteelSize : 11cm..,0.001492537,GE Healthcare,29/01/2023,29/01/2027,22,29.9,657.8
Lab Plasticware,Micropipettes and Tips,Micropipette Stand with Drawer,944,Can Hold 6 PipetteWith Drawer to Store TipsEasy to StandMaterial : Acrylic  Item Code        80353  ..,0.000497512,Dolphin Surgical,21/04/2023,21/04/2027,21,94.4,1982.4
Surgery,Forceps,Babcock Forceps,369,Instrument Type : Tissue Grasping ForcepsWorking Surface Style : Latitudinally SerratedMaterial : St..,0.001492537,Cook India,15/08/2022,15/08/2026,4,36.9,147.6
Surgery,Instrument Kit,Nasal Instruments Kit,5656,Nasal Instruments KitPack of 21 InstrumentsStainless SteelReusableS. No.Name of ItemsQty.1B.P Ha..,0.001492537,Dolphin Surgical,13/04/2024,13/04/2028,17,565.6,9615.2
Surgery,Scissors,Metzenbaum Scissors (Curved),379,Forgings from stainless steel.Silk matte satin finish.To dissect tissue.Used mostly in general surge..,0.001492537,Santosh Surgical Instruments,9/4/2023,9/4/2027,46,37.9,1743.4
Surgery,Forceps,Littlewood Tissue Forceps,479,Littlewood Tissue Forceps..,0.001492537,AJMERA BIO-MEDICAL ENGINEERS,16/08/2023,16/08/2027,10,47.9,479
Other Instruments,Airway,Gudel Pattern Airways,252,Guedel Pattern Airways (Set of 6 Pcs.),0.000497512,Johnson & Johnson,19/03/2024,19/03/2028,25,25.2,630
Ortho Instruments,Twister,Tungsten Carbide (TC) Wire Twister,2296,"Tungsten Carbide (TC) Wire TwisterSKUSize366006""366018""..",0.000497512,Sree Balaji Surgicals,27/06/2023,27/06/2027,5,229.6,1148
Surgery,Suction Units Portable,Suction Unit - ABS (20 Ltrs./Min),8960,Housing : Complete ABS  (Plastic)Jars : Polycarbonate 1000ml  capacityOverflow Protection : Mechanic..,0.001492537,Baxter,2/10/2022,2/10/2026,1,896,896
Lab Equipment,Laboratory Water Bath,Serological Water Bath Thermostatic Controlled With Thermostat & Stirrer 17 Ltrs.,24001.6,"Double walled, inside  made of stainless steel 304 grade and outside mild sheet painted with  attrac..",0.000497512,Apollo Hospitals Enterprise Limited,16/07/2023,16/07/2027,35,2400.16,84005.6
Laparoscopic Instrument,Graspers,Bowel Fenestrated Grasper,2199,SKUType93458Short93459Medium93460Long..,0.000497512,Sree Balaji Surgicals,15/03/2023,15/03/2027,20,219.9,4398
Surgery,Instrument Kit,Hemorrhoid Piles Gun with Forceps,2632,Hemorrhoid Piles Gun with ForcepsManufactured from stainless steel.Highly polished finish for aesthe..,0.001492537,Reckitt Benckiser,29/10/2024,29/10/2028,8,263.2,2105.6
Surgery,Retractor,Retractor Casper & Cloward with 10 Blade,15989,Stainless SteelReusablePremium Grade..,0.001492537,Shilpa Medicare Limited,28/12/2023,28/12/2027,17,1598.9,27181.3
Surgery,Suction Units Electric,Suction Unit - SS (35 Ltrs./Min),26880,Housing : Complete stainless steelJars : Polycarbonate 2 X 1.5 Ltrs. capacityOverflow Protection : M..,0.001492537,Olympus,2/1/2024,2/1/2028,31,2688,83328
Surgery,Scissors,Metzenbaum Scissors (Straight),379,Forgings from stainless steel.Silk matte satin finish.To dissect tissue.Used mostly in general surge..,0.001492537,GPC Medical,8/3/2024,8/3/2028,46,37.9,1743.4
Lab Equipment,Medium Centrifuge,"Medium Centrifuge Without Timer, 8 x 15ml",13304.5,Item Code                  30206Â  View Price                  30207 Â  View Price    ..,0.000497512,Vishal Surgitech,24/08/2023,24/08/2027,42,1330.45,55878.9
Lab Plasticware,Lab Bottles,Aspirator Bottles,991.2,IndoSurgicals Aspirator Bottles are made of polypropylene and are therefore much lighter than glass...,0.000497512,Braun Medical India,5/10/2024,5/10/2028,36,99.12,3568.32
Surgery,Suction Units Portable,Suction Unit - ABS (20 Ltrs./Min),8960,Housing : Complete ABS  (Plastic)Jars : Polycarbonate 1000ml  capacityOverflow Protection : Mechanic..,0.001492537,Delux Surgical,27/04/2023,27/04/2027,46,896,41216
Surgery,Forceps,"Tubing Clamp without Safety Guard 8""",1249,Stainless SteelReusablePremium Grade..,0.001492537,Dr. Lal PathLabs Limited,13/05/2024,13/05/2028,18,124.9,2248.2
General,Cylinder,Portable Oxygen Cylinder 6 liters,800.8,Oxygen for personal use comes packaged in a 500 ml OXY99 can comprising of 6 liters of oxygen. Now t..,0.00199005,Fresenius,11/3/2024,11/3/2027,2,80.08,160.16
Rubber Products,Air Cushion (Invalid Air Rings),Piles Cushion (General Quality),415.36,"Piles Air Cushion (Invalid Air Rings), Made of Rubber.Relief and comfort Air Cushion for people suff..",0.000497512,Medtronic,2/2/2024,2/2/2028,20,41.536,830.72
Radiology Aid,Radiation Protection Head Shield,Lead Cap (Head Shield) Lead Vinyl (BARC Approved),2688,The Lead Cap is a radiation protection accessoryÂ designed to protect the head against exposure ..,0.000497512,GPC Medical,6/1/2025,6/1/2029,30,268.8,8064
Cardiothoracic Instrument,Forceps,DeBakey Satinsky Forceps,2269,"Stainless SteelReusablePremium GradeSKUSize933706""933718""9337210""..",0.001492537,Siemens Healthineers,8/5/2022,8/5/2026,3,226.9,680.7
Ortho Aid,Walking Sticks,"Walking Stick, Tripod (Three Legs), Adjustable",531.3,Made of light weight and sturdy Aluminium.Simple push button allows height adjustment from approx. 7..,0.000497512,M/S IMADE TECHNOLOGY PRIVATE LIMITED,10/6/2022,10/6/2026,20,53.13,1062.6
Ortho Aid,Knee Calf & Ankle Splints,Ankle Brace,570.15,"Size :        Small, Medium, Large, XLarge         Specifications :        Shoe shaped design       ..",0.000497512,SISCO ,16/08/2023,16/08/2027,36,57.015,2052.54
Sterilizers,Non-Electric Autoclave,"Autoclave (24 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",7399,"Mirror Finish, Non-Electric (External Fuel Heated)Approx. Size (Dia. X H): 300mm X 300mm + 50mm Lid...",0.000995025,Trivitron Healthcare Private Limited,15/01/2023,15/01/2026,18,739.9,13318.2
Surgery,Instrument Kit,Bilateral Tubal Ligation Instrument Set (BTL Set),12992,Bilateral Tubal Ligation Instrument Set (BTL Set) Containing Following Items:-    S. No.Name..,0.001492537,Dolphin Surgical,12/10/2024,12/10/2028,3,1299.2,3897.6
Surgery,Forceps,Bozeman Needle Holder,359,"Item Code    Size  931706""  93171    8""  93172    10""..",0.001492537,Integra,27/01/2023,27/01/2027,4,35.9,143.6
Surgery,Scissors,Metzenbaum Scissors (Curved),379,Forgings from stainless steel.Silk matte satin finish.To dissect tissue.Used mostly in general surge..,0.001492537,Narang,4/6/2023,4/6/2027,17,37.9,644.3
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,1599,Double sided technology diaphragm retaining rims for patient comfort.Ultra-sensitive diaphragm for g..,0.00199005,KLS Martin India,8/11/2024,8/11/2027,48,159.9,7675.2
Surgery,Forceps,Green Armytage Forceps,509,Made by quality stainless steelLength of forceps is 8.25 InchThe forceps are available in straightTh..,0.001492537,Girish Surgical Works,17/09/2022,17/09/2026,43,50.9,2188.7
Lab Equipment,Laboratory Incubators,Laboratory Incubator Universal Type 43 Ltrs SS Chambers,24961.44,Temperature  Thermostatically controlled by hydraulic thermostat 5ÂºC above ambient to 70ÂºC  with a s..,0.000497512,SISCO ,21/08/2022,21/08/2026,20,2496.144,49922.88
General,Cylinder,Humidifier Bottle 200ml Autoclavable Plastic,704.46,Humidifier Bottle 200ml Autoclavable Plastic..,0.00199005,Reckitt Benckiser,20/08/2023,20/08/2026,38,70.446,2676.948
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 10,224,"B.P. Handle (Scalpel Handle) No. 10, stainless steel",0.001492537,Vishal Surgitech,15/03/2024,15/03/2028,23,22.4,515.2
Anesthesia Equipment,Nebulizer Face Mask,Nebulizer Face Mask Kit for Child,199,"Compatible with most standard nebulizer kits.Reusable mask, must only be hand washed.Soft anatomical..",0.00199005,Apollo Hospitals Enterprise Limited,27/07/2023,27/07/2026,4,19.9,79.6
Other Instruments,Electrocardiograph,CONTEC ECG600G Digital 6 Channel ECG EKG Machine Portable,52187.52,CONTEC ECG600G Digital 6 Channel ECG EKG Machine Portable,0.000497512,AJMERA BIO-MEDICAL ENGINEERS,30/04/2023,30/04/2027,9,5218.752,46968.768
Lab Plasticware,Racks & Stands,Rack For Scintillation Vial (Pack of 2 Pcs.),1130.24,"These Racks for scintillation Vials, moulded in Polypropylene, are autoclavable & corrosion resi..",0.000497512,Bauch & Lomb,15/08/2023,15/08/2027,32,113.024,3616.768
Opthalmology Instruments,Forceps,Kelman-McPherson Forceps,559,Stainless SteelReusablePremium Grade..,0.000497512,Terumo,30/09/2022,30/09/2026,16,55.9,894.4
General,Height & Weight Scales,Head Circumference Measuring Tape,35,This Head Circumference Measuring Tape is with Unique 3-slot Principle For Accurate Measurement.Meas..,0.00199005,Braun Medical India,13/03/2025,13/03/2028,20,3.5,70
Neurology Instruments,Hammer,IndoSurgicals Percussion Knee Hammer Taylor Model,79,The Taylor reflex hammer elicits myotatic and plantar responses with less effort and greater patient..,0.000497512,M/S IMADE TECHNOLOGY PRIVATE LIMITED,3/12/2023,3/12/2027,42,7.9,331.8
Sterilizers,Electric Autoclave,"Autoclave (13 litres) Electric, Pressure Cooker Type, Mirror Finish",4999,"Mirror Finish, Electric, 220V. 50Hz. Single PhaseApprox. Size (Dia. X H): 220mm x 230mm + 38mm Lid (..",0.000995025,Lotus Surgicals,9/8/2023,9/8/2026,11,499.9,5498.9
General,Cylinder,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,Medtronic,4/7/2023,4/7/2026,45,169.9,7645.5
Linen,Disposable Shoe & Boot Covers,"Disposable Boot cover, Non Woven (25 Pairs)",646.8,DisposableMade of non woven Upto knee length..,0.000497512,Romsons,8/12/2022,8/12/2026,34,64.68,2199.12
Furniture,Stretchers,Patient Stretcher Trolley,9794,Overall size approx. 213 L x 56 W x 81 H cms.Â M.S. tubular construction with MS removable stret..,0.000497512,GE Healthcare,5/1/2024,5/1/2028,2,979.4,1958.8
ENT Instruments,Laryngoscope,Fiber Optic LED Laryngoscope Set Miller,6720,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.000497512,Thyrocare Technologies Limited,17/12/2023,17/12/2027,35,672,23520
Surgery,Scissors,Episiotomy Scissors,459,Episiotomy Scissors..,0.001492537,SISCO ,8/8/2023,8/8/2027,6,45.9,275.4
Anesthesia Equipment,Laryngoscope,Fiber Optic LED Laryngoscope Set Macintosh,6720,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.00199005,Dr. Lal PathLabs Limited,27/02/2025,27/02/2028,38,672,25536
Surgery,Forceps,"GREY Gall Duct Forceps (Toothed) 10""",769,"GREY Gall Duct Forceps (Toothed) 10""..",0.001492537,Dolphin Surgical,29/01/2023,29/01/2027,43,76.9,3306.7
Radiology Aid,X-Ray View Box,LED X-Ray View Box Single Film with Dimmer & Sensor (General Quality),1749,LED X-Ray View Box Single Film with Dimmer to Adjust Brightness of ScreenBody: Powder Coated MS Cabi..,0.000497512,Fortis Healthcare Limited,24/06/2022,24/06/2026,32,174.9,5596.8
Surgery,Forceps,Bonney Plain Forceps,269,"Item Code    Size  94370    6""  94371    7""  94372    8""..",0.001492537,Fortis Healthcare Limited,30/01/2025,30/01/2029,12,26.9,322.8
Linen,Patient Dress,Patient Dress,749,"Top: Side front tie closure, short sleevesPants: Elastic waistband with drawstringMaterial: Poly-cot..",0.000497512,Cook India,10/7/2023,10/7/2027,30,74.9,2247
Surgery,Instrument Kit,Bilateral Tubal Ligation Instrument Set (BTL Set),12992,Bilateral Tubal Ligation Instrument Set (BTL Set) Containing Following Items:-    S. No.Name..,0.001492537,Poly Medicure,26/12/2024,26/12/2028,19,1299.2,24684.8
Surgery,Scissors,Cuticle Scissors (Straight),199,"Cuticle Scissors (Straight)Size approx. : 4""..",0.001492537,Cook India,12/1/2023,12/1/2027,43,19.9,855.7
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 0",196,"Anaesthesia Face Mask, Size 00            Made from silicon (green)Size: 00        Round Sha..",0.00199005,Apollo Hospitals Enterprise Limited,15/04/2022,15/04/2025,29,19.6,568.4
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 7,168,"B.P. Handle (Scalpel Handle) No. 7, stainless steel",0.001492537,KLS Martin India,17/12/2023,17/12/2027,14,16.8,235.2
Opthalmology Instruments,Forceps,Bishop-Harmon Tissue Forceps,479,Stainless SteelReusablePremium Grade..,0.000497512,Ben Franklin Opticians,16/07/2023,16/07/2027,5,47.9,239.5
Sterilizers,Autoclave Accessories,Autoclave Power Cable,549,NOTE : THISÂ  POWER CABLE IS COMPATIBLE WITH OUR AUTOCLAVES ONLY..,0.000995025,M/S IMADE TECHNOLOGY PRIVATE LIMITED,8/10/2022,8/10/2025,32,54.9,1756.8
Surgery,Forceps,Babcock Forceps,369,Instrument Type : Tissue Grasping ForcepsWorking Surface Style : Latitudinally SerratedMaterial : St..,0.001492537,Santosh Surgical Instruments,29/01/2024,29/01/2028,43,36.9,1586.7
Hollowware,Dressing Jar,Dressing Jar,196,"Stainless Steel              Item Code    Size Dia. x Height (approx.)    70069    100 x 75mm (4x3"")..",0.000497512,Becton Dickinson,6/4/2024,6/4/2028,4,19.6,78.4
Surgery,Scalpel,BP Scalpel Handle No. 3 & 4,89,BP Scalpel Handle No. 3 & 4,0.001492537,Romsons,28/08/2024,28/08/2028,47,8.9,418.3
Linen,Pillow & Pillow Cover,Hospital Pillow Cover (5 Pcs.),554.4,Made from CottonStandard Size..,0.000497512,Romsons Group Of Industries,12/3/2025,12/3/2029,22,55.44,1219.68
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 3",224,"Anaesthesia Face Mask, Size 3            Made from silicon (green)Size: 3..",0.00199005,Karl Storz,5/12/2023,5/12/2026,32,22.4,716.8
Surgery,Scissors,Metzenbaum Scissors (Curved),379,Forgings from stainless steel.Silk matte satin finish.To dissect tissue.Used mostly in general surge..,0.001492537,Braun Medical India,3/1/2025,3/1/2029,28,37.9,1061.2
Opthalmology Instruments,Forceps,Suture Tying Forcep (Straight),589,Stainless SteelReusablePremium Grade..,0.002985075,Johnson & Johnson,26/11/2024,26/11/2028,30,58.9,1767
ENT Instruments,Knife,Sickle Knife Pointed,399,Sickle Knife PointedManufactured from stainless steel.Highly polished finish for aesthetic and corro..,0.000497512,Poly Medicure,8/5/2023,8/5/2027,30,39.9,1197
Sterilizers,Autoclave Accessories,Autoclave Rubber Gasket,354,Autoclave Rubber GasketNOTE : THESE GASKETS ARE COMPATIBLE WITH OUR AUTOCLAVES ONLY Item Code Ga..,0.000995025,Bard,6/3/2023,6/3/2026,50,35.4,1770
Surgery,Scissors,Knapp Iris Scissors (Curved),199,Knapp Iris Scissors (Curved)..,0.001492537,Dr. Lal PathLabs Limited,25/09/2023,25/09/2027,43,19.9,855.7
Surgery,Scissors,Lister Bandage Scissors,319,"Made of high quality surgical grade stainless steel.			Hand-crafted for optimum control, balance and..",0.001492537,Ambu,30/04/2022,30/04/2026,9,31.9,287.1
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 11x7"" (Deluxe Quality)",599,Stainless steelWith cover                     Item Code             Size (approx.)             Qu..,0.000497512,Terumo,27/07/2023,27/07/2027,49,59.9,2935.1
Opthalmology Instruments,Forceps,Kelman-McPherson Forceps,559,Stainless SteelReusablePremium Grade..,0.000497512,GE Healthcare,22/04/2022,22/04/2026,6,55.9,335.4
OB/GYN Instruments,Pessaries,Ring Vaginal Pessary Silicone Non Sterile (Medium) - 1 Pc.,299,IndoSurgicals Ring Vaginal Pessary are 100% silicone pessaries that are used in the management of va..,0.000497512,3M India,16/02/2025,16/02/2029,32,29.9,956.8
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 2",196,"Anaesthesia Face Mask, Size 2            Made from silicon (green)Size: 2        Round Shape..",0.00199005,Rama Surgical House,22/11/2022,22/11/2025,17,19.6,333.2
General,Cylinder,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,Cook India,25/11/2024,25/11/2027,38,169.9,6456.2
Surgery,Forceps,"Ovum Forceps 10""",525,"Ovum Forceps 10""..",0.001492537,M/S IMADE TECHNOLOGY PRIVATE LIMITED,4/4/2023,4/4/2027,32,52.5,1680
